"subject_id","X0__0","X1__0","X2__0","X0__1","X1__1","X2__1","X0__2","X1__2","X2__2","X0__3","X1__3","X2__3","X0__4","X1__4","X2__4","X0__5","X1__5","X2__5","X0__6","X1__6","X2__6","X0__7","X1__7","X2__7","X0__8","X1__8","X2__8","X0__9","X1__9","X2__9","X0__10","X1__10","X2__10","X0__11","X1__11","X2__11"
"10","0.0","0.0","1.0","1.0","0.0","2.0","2.0","2.0","1.0","1.0","2.0","1.0","2.0","1.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","2.0","2.0","0.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","0.0","2.0","1.0"
"11","2.0","1.0","1.0","0.0","1.0","1.0","2.0","1.0","2.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0"
"12","0.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","2.0","2.0","1.0","0.0","0.0","2.0","2.0","1.0","2.0","1.0","0.0","0.0","0.0"
"13","1.0","1.0","1.0","2.0","2.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","1.0","0.0","0.0","1.0","2.0","0.0","0.0"
"14","1.0","1.0","2.0","2.0","0.0","2.0","0.0","0.0","1.0","2.0","2.0","0.0","2.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","0.0","2.0","1.0","2.0"
"15","1.0","1.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","0.0","0.0","1.0","2.0","0.0","0.0","2.0","2.0"
"16","1.0","1.0","0.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","1.0","0.0","2.0","2.0","0.0","1.0","0.0","2.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","1.0"
"17","2.0","0.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","1.0","2.0","0.0","1.0","2.0","0.0","0.0","1.0","0.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","1.0","1.0","0.0","1.0","0.0"
"18","1.0","1.0","1.0","2.0","0.0","2.0","2.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0","0.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","1.0","0.0","1.0","1.0","1.0","2.0","2.0","0.0","1.0","2.0","0.0","0.0","2.0","2.0"
"19","1.0","0.0","1.0","2.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","1.0","0.0","1.0","0.0","2.0","0.0"
"20","0.0","2.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","1.0","0.0","1.0","1.0","1.0","2.0","1.0","2.0","2.0","0.0"
"21","1.0","2.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","0.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","1.0","2.0","0.0","0.0","2.0","2.0","1.0","0.0","1.0"
"22","2.0","2.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","0.0","2.0","1.0","2.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","2.0","0.0","2.0","1.0","2.0","1.0","0.0","0.0","2.0","2.0"
"23","0.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","0.0","1.0","1.0","1.0","0.0","2.0","2.0","2.0","1.0","0.0","2.0","1.0","0.0","2.0","1.0","0.0","2.0","0.0","0.0","2.0","1.0","0.0","2.0"
"24","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","0.0"
"25","0.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","2.0","0.0","1.0","2.0","2.0","2.0","2.0","1.0","2.0","0.0","2.0","2.0","0.0","1.0","2.0","0.0","0.0","1.0","1.0","2.0","2.0","1.0","2.0","1.0","2.0"
"26","1.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","0.0","2.0","0.0","2.0","2.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0"
"27","0.0","2.0","1.0","1.0","1.0","0.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","1.0","0.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","1.0"
"28","1.0","0.0","2.0","1.0","2.0","2.0","0.0","2.0","1.0","1.0","1.0","2.0","1.0","1.0","0.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","1.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","1.0","2.0","2.0","0.0","2.0","1.0"
"29","1.0","1.0","0.0","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","0.0","2.0","0.0","0.0","2.0","2.0","0.0","0.0","1.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","1.0"
"30","2.0","0.0","0.0","0.0","2.0","2.0","1.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","2.0","0.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0"
"31","0.0","1.0","2.0","2.0","0.0","1.0","2.0","0.0","2.0","2.0","2.0","1.0","1.0","0.0","0.0","2.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","2.0","0.0","1.0","2.0","0.0","2.0"
"32","0.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0","1.0","0.0","2.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","1.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","2.0","1.0"
"33","2.0","0.0","0.0","0.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","2.0","2.0","1.0","1.0","1.0","0.0"
"34","2.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","2.0","1.0"
"35","2.0","0.0","0.0","0.0","2.0","0.0","2.0","1.0","1.0","0.0","0.0","2.0","0.0","0.0","1.0","2.0","0.0","1.0","0.0","2.0","2.0","1.0","1.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0"
"36","2.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","0.0","2.0","2.0","1.0","2.0","1.0","1.0","2.0","0.0","2.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","1.0","1.0"
"37","1.0","1.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0"
"38","1.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","0.0","0.0","1.0","1.0","2.0","0.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0","0.0","1.0","1.0","2.0","0.0"
"39","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","1.0","0.0","2.0","0.0","1.0","1.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","2.0","0.0","0.0","2.0","2.0","0.0","1.0"
"40","2.0","2.0","1.0","1.0","2.0","0.0","2.0","1.0","2.0","2.0","1.0","0.0","2.0","0.0","2.0","0.0","1.0","0.0","1.0","1.0","2.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","2.0","1.0","0.0","2.0"
"41","1.0","0.0","1.0","1.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","0.0","0.0","1.0","2.0","1.0","0.0"
"42","2.0","0.0","1.0","0.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","0.0"
"43","0.0","2.0","2.0","2.0","2.0","1.0","0.0","2.0","0.0","0.0","2.0","0.0","1.0","2.0","0.0","2.0","0.0","2.0","2.0","2.0","0.0","2.0","0.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","0.0","2.0","2.0","0.0","0.0"
"44","2.0","2.0","2.0","2.0","0.0","1.0","2.0","0.0","1.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","0.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0"
"45","0.0","2.0","2.0","0.0","1.0","2.0","2.0","2.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","1.0","2.0","1.0","2.0"
"46","2.0","0.0","2.0","0.0","2.0","2.0","2.0","1.0","1.0","2.0","2.0","1.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0"
"47","0.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0"
"48","1.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0","1.0","2.0","2.0","1.0","0.0","0.0","2.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","1.0","1.0","2.0","1.0","0.0","2.0","0.0","1.0","2.0","2.0","0.0","1.0"
"49","2.0","1.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","0.0","1.0","2.0","2.0","1.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0"
"50","0.0","2.0","2.0","1.0","1.0","0.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","0.0","1.0","2.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","0.0","2.0","0.0","2.0"
"51","0.0","0.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","1.0","2.0","2.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","1.0","2.0","0.0"
"52","0.0","0.0","0.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","1.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","1.0","1.0","0.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","1.0","2.0"
"53","2.0","1.0","0.0","0.0","0.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0"
"54","0.0","1.0","2.0","1.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","1.0","1.0","2.0","1.0","1.0","2.0","1.0","0.0","0.0","2.0","2.0","1.0","0.0","1.0","2.0","2.0","0.0"
"55","1.0","2.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0","0.0","2.0","2.0"
"56","2.0","0.0","0.0","2.0","2.0","2.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","2.0","1.0","0.0","2.0","0.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","2.0","0.0","2.0","2.0"
"57","0.0","2.0","0.0","1.0","1.0","1.0","2.0","1.0","0.0","1.0","1.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","1.0","2.0","2.0","0.0","0.0","2.0","0.0","1.0","2.0","1.0","0.0","0.0","2.0","1.0","0.0","0.0","2.0","2.0"
"58","0.0","2.0","1.0","2.0","2.0","1.0","2.0","1.0","0.0","0.0","2.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0","0.0","2.0","2.0","2.0","1.0","1.0","0.0","2.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0"
"59","1.0","2.0","1.0","0.0","2.0","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","0.0","1.0","2.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0"
"60","1.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","2.0","0.0","1.0","2.0","1.0","0.0","0.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","2.0","2.0","0.0","1.0","1.0","2.0","0.0"
"61","0.0","2.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","2.0","0.0","2.0","1.0","2.0","2.0","0.0","1.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0"
"62","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","0.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0"
"63","0.0","2.0","2.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","0.0","1.0","2.0","1.0","2.0","0.0","1.0","0.0","1.0","1.0","1.0","2.0","0.0","0.0"
"64","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","2.0","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","1.0","1.0","2.0","2.0","1.0","1.0","0.0","1.0","2.0","1.0","1.0","0.0","0.0","0.0"
"65","2.0","0.0","0.0","2.0","1.0","0.0","0.0","0.0","2.0","2.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","1.0"
"66","2.0","1.0","1.0","2.0","0.0","0.0","0.0","2.0","0.0","1.0","1.0","2.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","0.0","2.0"
"67","1.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","2.0","1.0","1.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","0.0","1.0"
"68","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","2.0","2.0","1.0","0.0","2.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","1.0"
"69","2.0","0.0","1.0","2.0","2.0","0.0","2.0","2.0","2.0","0.0","0.0","1.0","1.0","1.0","1.0","2.0","0.0","1.0","0.0","1.0","0.0","2.0","1.0","0.0","1.0","0.0","2.0","2.0","1.0","2.0","2.0","1.0","1.0","1.0","2.0","0.0"
"70","2.0","2.0","0.0","0.0","1.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","0.0","2.0","1.0","2.0","0.0"
"71","0.0","2.0","2.0","1.0","0.0","1.0","2.0","2.0","0.0","1.0","1.0","2.0","1.0","0.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","1.0","0.0","2.0","2.0"
"72","0.0","2.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","0.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","0.0","1.0","2.0","2.0","1.0","0.0","1.0","2.0","0.0","2.0","0.0","2.0","1.0"
"73","1.0","1.0","1.0","2.0","2.0","0.0","2.0","1.0","2.0","1.0","1.0","0.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","1.0","1.0","0.0","0.0","1.0","2.0","2.0","0.0","0.0","1.0","2.0","2.0","0.0","1.0","0.0","1.0","1.0"
"74","0.0","2.0","2.0","1.0","1.0","0.0","2.0","0.0","0.0","0.0","2.0","2.0","2.0","1.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","1.0","1.0","2.0","2.0","2.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","2.0","2.0"
"75","0.0","2.0","2.0","2.0","1.0","1.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","2.0","0.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","1.0","2.0","2.0","1.0","0.0"
"76","0.0","2.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0","2.0","1.0","0.0","2.0","2.0","1.0","2.0","2.0","1.0","2.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","1.0"
"77","1.0","1.0","2.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","2.0","0.0","1.0","1.0","0.0","2.0","0.0","1.0"
"78","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","1.0","1.0","1.0","0.0","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","0.0","2.0","0.0","1.0"
"79","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","1.0","1.0","1.0","1.0","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","0.0","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0"
"80","0.0","2.0","0.0","1.0","1.0","2.0","2.0","1.0","1.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","2.0","2.0","1.0","2.0","0.0","1.0","0.0","1.0","2.0","0.0"
"81","0.0","1.0","2.0","1.0","0.0","1.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0","0.0","0.0","2.0","2.0","0.0","2.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0"
"82","0.0","0.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","1.0","0.0","2.0","0.0","1.0","1.0","0.0","0.0","0.0"
"83","0.0","2.0","2.0","1.0","1.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0","2.0","1.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","0.0"
"84","0.0","1.0","2.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","1.0","2.0","1.0","0.0","0.0","2.0","1.0","2.0","1.0","0.0","2.0","0.0","2.0","1.0","2.0","0.0","2.0","2.0","2.0","0.0","2.0","0.0","2.0","0.0","1.0","2.0"
"85","1.0","1.0","0.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0","0.0","2.0","2.0","2.0","0.0","1.0","0.0","2.0","2.0","1.0","2.0","2.0","2.0","0.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","0.0"
"86","2.0","0.0","0.0","0.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","1.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","2.0","1.0","2.0","1.0","1.0","2.0","1.0","2.0","0.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0"
"87","2.0","0.0","0.0","0.0","2.0","2.0","0.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","1.0","2.0","0.0","2.0","0.0","0.0"
"88","0.0","1.0","2.0","1.0","2.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","2.0","0.0","0.0","1.0","1.0","2.0","2.0","2.0","0.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","1.0","0.0","0.0","1.0","2.0","1.0","0.0","1.0"
"89","0.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","2.0","0.0","2.0","0.0","1.0","0.0","1.0","2.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","1.0","2.0"
"90","0.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","0.0","0.0","0.0","2.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","2.0","0.0","1.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","1.0","1.0","2.0","0.0","0.0","0.0"
"91","1.0","0.0","1.0","2.0","1.0","0.0","0.0","2.0","1.0","1.0","2.0","2.0","0.0","2.0","1.0","2.0","1.0","0.0","1.0","0.0","2.0","0.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","0.0","2.0","1.0","2.0","2.0","2.0","2.0"
