"","H0__0","H1__0","H0__1","H1__1"
"269","0.0","0.0","1.0","0.0"
"270","0.0","0.0","0.0","0.0"
"271","0.0","0.0","0.0","0.0"
"272","0.0","0.0","1.0","0.0"
"273","1.0","0.0","0.0","0.0"
"274","1.0","0.0","0.0","0.0"
"275","1.0","0.0","0.0","0.0"
"276","0.0","0.0","1.0","0.0"
"277","1.0","0.0","0.0","0.0"
"278","1.0","0.0","0.0","0.0"
"279","1.0","0.0","0.0","0.0"
"280","1.0","0.0","0.0","0.0"
"281","1.0","0.0","0.0","0.0"
"282","0.0","0.0","0.0","0.0"
"283","0.0","0.0","0.0","0.0"
"284","1.0","0.0","0.0","0.0"
"285","1.0","0.0","0.0","0.0"
"286","1.0","0.0","0.0","0.0"
"287","1.0","0.0","0.0","0.0"
"288","0.0","0.0","1.0","0.0"
"289","1.0","0.0","0.0","0.0"
"290","1.0","0.0","0.0","0.0"
"291","0.0","0.0","0.0","0.0"
"292","0.0","0.0","1.0","0.0"
"293","1.0","0.0","0.0","0.0"
"294","1.0","0.0","0.0","0.0"
"295","0.0","0.0","0.0","0.0"
"296","0.0","0.0","1.0","0.0"
"297","0.0","0.0","1.0","0.0"
"298","1.0","0.0","0.0","0.0"
"299","1.0","0.0","0.0","0.0"
"300","1.0","0.0","0.0","0.0"
"301","1.0","0.0","0.0","0.0"
"302","1.0","0.0","0.0","0.0"
"303","1.0","0.0","0.0","0.0"
"304","0.0","0.0","0.0","0.0"
"305","1.0","0.0","0.0","0.0"
"306","0.0","0.0","1.0","0.0"
"307","1.0","0.0","0.0","0.0"
"308","0.0","0.0","1.0","0.0"
"309","1.0","0.0","0.0","0.0"
"310","0.0","0.0","1.0","0.0"
"311","0.0","0.0","1.0","0.0"
"312","1.0","0.0","0.0","1.0"
"313","0.0","0.0","0.0","1.0"
"314","0.0","0.0","1.0","1.0"
"315","0.0","0.0","1.0","1.0"
"316","0.0","0.0","1.0","1.0"
"317","0.0","0.0","1.0","1.0"
"318","0.0","0.0","1.0","1.0"
"319","0.0","0.0","1.0","1.0"
"320","0.0","0.0","1.0","1.0"
"321","0.0","0.0","1.0","1.0"
"322","0.0","0.0","1.0","1.0"
"323","0.0","0.0","1.0","1.0"
"324","0.0","0.0","1.0","1.0"
"325","0.0","0.0","1.0","1.0"
"326","0.0","0.0","1.0","1.0"
"327","1.0","0.0","0.0","1.0"
"328","1.0","0.0","0.0","1.0"
"329","0.0","0.0","1.0","1.0"
"330","0.0","0.0","1.0","1.0"
"331","1.0","0.0","0.0","1.0"
"332","1.0","0.0","0.0","1.0"
"333","1.0","0.0","0.0","1.0"
"334","0.0","0.0","0.0","1.0"
"335","1.0","0.0","0.0","1.0"
"336","0.0","0.0","1.0","1.0"
"337","1.0","0.0","0.0","1.0"
"338","0.0","0.0","1.0","1.0"
"339","0.0","0.0","1.0","1.0"
"340","0.0","0.0","1.0","1.0"
"341","0.0","0.0","1.0","1.0"
"342","1.0","0.0","1.0","1.0"
"343","1.0","0.0","0.0","1.0"
"344","1.0","0.0","0.0","1.0"
"345","0.0","0.0","1.0","1.0"
"346","0.0","0.0","1.0","1.0"
"347","1.0","0.0","1.0","1.0"
"348","1.0","0.0","0.0","1.0"
"349","1.0","0.0","0.0","1.0"
"350","0.0","0.0","1.0","1.0"
"351","1.0","0.0","0.0","1.0"
"352","1.0","0.0","0.0","1.0"
"353","1.0","0.0","0.0","1.0"
"354","0.0","0.0","1.0","1.0"
"355","0.0","0.0","1.0","1.0"
"356","1.0","0.0","0.0","1.0"
"357","0.0","0.0","1.0","1.0"
"358","1.0","0.0","0.0","1.0"
"359","1.0","0.0","0.0","1.0"
"360","1.0","0.0","0.0","1.0"
"361","0.0","0.0","1.0","1.0"
"362","1.0","0.0","1.0","1.0"
"363","0.0","0.0","1.0","1.0"
"364","1.0","0.0","0.0","1.0"
"365","0.0","0.0","1.0","1.0"
"366","1.0","0.0","0.0","1.0"
"367","1.0","0.0","0.0","1.0"
"368","1.0","0.0","0.0","1.0"
"369","0.0","0.0","1.0","1.0"
"370","1.0","0.0","0.0","1.0"
"371","0.0","0.0","1.0","1.0"
"372","0.0","0.0","0.0","1.0"
"373","0.0","0.0","1.0","1.0"
"374","1.0","0.0","0.0","1.0"
"375","1.0","0.0","0.0","1.0"
"376","0.0","0.0","0.0","1.0"
"377","1.0","0.0","0.0","1.0"
"378","0.0","0.0","1.0","1.0"
"379","0.0","0.0","0.0","1.0"
"380","0.0","0.0","1.0","1.0"
"381","0.0","0.0","1.0","1.0"
"382","1.0","0.0","0.0","1.0"
"383","0.0","0.0","0.0","1.0"
"384","1.0","0.0","0.0","1.0"
"385","1.0","0.0","0.0","1.0"
"386","0.0","0.0","1.0","1.0"
"387","1.0","0.0","0.0","1.0"
"388","0.0","0.0","1.0","1.0"
"389","0.0","0.0","1.0","1.0"
