"subject_id","X1__1","X2__1","X1__2","X2__2","X1__3","X2__3","X1__4","X2__4","X1__5","X2__5","X1__6","X2__6","X1__7","X2__7","X1__8","X2__8","X1__9","X2__9","X1__10","X2__10","X1__11","X2__11","X1__12","X2__12","X1__13","X2__13","X1__14","X2__14","X1__15","X2__15","X1__16","X2__16","X1__17","X2__17","X1__18","X2__18","X1__19","X2__19","X1__20","X2__20","X1__21","X2__21","X1__22","X2__22","X1__23","X2__23","X1__24","X2__24","X1__25","X2__25","X1__26","X2__26","X1__27","X2__27","X1__28","X2__28","X1__29","X2__29","X1__30","X2__30","X1__31","X2__31","X1__32","X2__32","X1__33","X2__33","X1__34","X2__34","X1__35","X2__35","X1__36","X2__36","X1__37","X2__37","X1__38","X2__38","X1__39","X2__39","X1__40","X2__40","X1__41","X2__41","X1__42","X2__42","X1__43","X2__43","X1__44","X2__44","X1__45","X2__45"
"11","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","1.0","3.0","1.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","2.0","3.0"
"12","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","2.0","0.0","2.0","1.0","2.0"
"13","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","2.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","2.0","0.0","2.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","2.0","0.0","2.0","0.0","3.0","0.0","3.0","1.0","3.0","1.0","3.0","1.0"
"14","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","0.0","3.0","0.0","2.0","0.0","2.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0"
"15","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","1.0"
"16","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","3.0","2.0"
"17","3.0","3.0","3.0","2.0","3.0","3.0","3.0","3.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0"
"18","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","1.0","3.0","1.0"
"19","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0"
"20","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0"
"21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0"
"22","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0"
"23","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0"
"24","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0"
"25","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","1.0","3.0","1.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","1.0","3.0","1.0","3.0","1.0"
"26","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","1.0","3.0","1.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","1.0","3.0","1.0","3.0","2.0"
"27","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","1.0","3.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.0","3.0","1.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","0.0","3.0","1.0","3.0","2.0","3.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0"
"28","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0"
"29","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","3.0","1.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.0","2.0","2.0","3.0","1.0","2.0","1.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","0.0","2.0","1.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","3.0"
"30","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0"
"31","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","3.0","1.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0"
"32","1.0","3.0","1.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","2.0","1.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0"
"33","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","2.0","1.0","2.0","0.0","3.0","0.0","3.0","0.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"34","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","2.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0"
"35","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","3.0","1.0","2.0","1.0","2.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
